"Latitude","Longitude","Fitness","Delta_t","Total.zebras","Population"
0.468911959,36.85907079,0.00190222710904901,322.552172861099,12,4
0.47077494,36.85956264,0.00222241777287081,322.468839527766,14,4.66666666666667
0.472146249,36.85981476,0.0036729497937724,322.118839527766,23,7.66666666666667
0.472146249,36.85981476,0.000479080407883356,322.118839527766,3,1
0.476648303,36.85996747,0.00160102066434627,321.968839527766,10,3.33333333333333
0.476648303,36.85996747,0.00112071446504239,321.968839527766,7,2.33333333333333
0.478243289,36.8614674,0.0019255936976595,321.835506194433,12,4
0.470072435,36.86202857,0.00531496449089047,321.618839527766,33,11
0.478855584,36.86247627,0.00274579708344266,321.452172861099,17,5.66666666666667
0.50163067,36.85006329,0.000162529544101269,321.085506194433,1,0.333333333333333
0.497019943,36.83998142,0.0032598333861345,320.918839527766,20,6.66666666666667
0.47880626,36.84758671,0.00331961090574143,319.852172861099,20,6.66666666666667
0.481024214,36.8440771,0.00599569312466911,319.652172861099,36,12
0.481024214,36.8440771,0.00133237624992647,319.652172861099,8,2.66666666666667
0.483220847,36.8394061,0.000667703048984175,319.518839527766,4,1.33333333333333
0.48578593,36.83735492,0.000334420751165032,319.418839527766,2,0.666666666666667
0.501811998,36.85066333,0.000840097090453772,319.135506194433,5,1.66666666666667
0.474282615,36.84896837,0.00101356965219836,318.818839527766,6,2
0.452792203,36.83933094,0.00143355365185735,298.468839527766,6,2
0.477839068,36.82977621,0.00240286229171228,298.135506194433,10,3.33333333333333
0.482575779,36.83464424,0.0019315907764658,297.852172861099,8,2.66666666666667
0.482575779,36.83464424,0.0019315907764658,297.852172861099,8,2.66666666666667
0.482913156,36.84354778,0.00145570254142705,297.568839527766,6,2
0.470724828,36.84041488,0.000243237858573996,297.418839527766,1,0.333333333333333
0.47000135,36.83922024,0.00170750624932574,297.252172861099,7,2.33333333333333
0.47000135,36.83922024,0.000731788392568173,297.252172861099,3,1
0.469732218,36.83658387,0.00195698429014486,297.085506194433,8,2.66666666666667
0.450930767,36.84259335,0.00294800512488284,296.835506194433,12,4
0.466200303,36.84099728,0.0017255388302081,296.635506194433,7,2.33333333333333
0.468424706,36.84108245,0.000740777539152055,296.535506194433,3,1
0.47868424,36.84296581,0.000494693724435947,296.435506194433,2,0.666666666666667
0.473806177,36.84896161,0.00024783895471904,296.318839527766,1,0.333333333333333
0.466227576,36.8506015,0.00447378556988363,296.152172861099,18,6
0.462679441,36.84788225,0.00249038116247543,296.035506194433,10,3.33333333333333
0.462679441,36.84788225,0.000249038116247543,296.035506194433,1,0.333333333333333
0.462613257,36.84806615,0.00351037308107261,295.635506194433,14,4.66666666666667
0.469817537,36.85597013,0.00822760859909651,225.885506194433,10,3.33333333333333
0.463384325,36.84910361,0.00498303654809111,225.335506194433,6,2
0.462712747,36.84819748,0.00752352623588281,224.952172861099,9,3
0.469371946,36.85240759,0.00671993653099722,224.668839527766,8,2.66666666666667
0.46055664,36.83395197,0.00170158671909858,223.918839527766,2,0.666666666666667
0.466059446,36.83595656,0.0025560061329875,223.835506194433,3,1
0.470322378,36.83921785,0.00683733758849064,223.652172861099,8,2.66666666666667
0.482998215,36.82700266,0.00171516829726159,223.452172861099,2,0.666666666666667
0.460702646,36.83262721,0.00780198297805707,222.818839527766,9,3
0.476369231,36.86187213,0.00407312568069317,226.468839527766,5,1.66666666666667
0.499373496,36.85224601,0.0173271050596217,225.718839527766,21,7
0.499373496,36.85224601,0.0132016038549499,225.718839527766,16,5.33333333333333
0.500721663,36.85005174,0.00664027691781495,225.368839527766,8,2.66666666666667
0.492809851,36.84799289,0.0050585896636875,224.452172861099,6,2
0.488408154,36.85745372,0.00509173227796852,224.068839527766,6,2
0.486544831,36.84900169,0.000843816724853712,224.402172861099,1,0.333333333333333
0.480635235,36.84473683,0.0008390386135073,224.735506194433,1,0.333333333333333
0.481029653,36.84618201,0.00588495506889096,224.618839527766,7,2.33333333333333
0.481563793,36.84589527,0.00684510728946012,223.585506194433,8,2.66666666666667
0.447381873,36.84068739,0.0170003698476642,203.035506194433,14,4.66666666666667
0.447381873,36.84068739,0.00364293639592805,203.035506194433,3,1
0.460881632,36.83240176,0.0110348224867073,202.468839527766,9,3
0.478885207,36.84279846,0.00494070437069725,202.035506194433,4,1.33333333333333
0.451053681,36.84328489,0.00744268713790663,201.785506194433,6,2
0.46289419,36.85023041,0.00873258323792906,201.452172861099,7,2.33333333333333
0.469643126,36.85229486,0.00750635387824695,201.285506194433,6,2
0.46977749,36.8540047,0.0175446890091344,201.185506194433,14,4.66666666666667
0.469912579,36.85792599,0.00731271536480136,179.018839527766,4,1.33333333333333
0.469912579,36.85792599,0.0219381460944041,179.018839527766,12,4
0.478847062,36.86111532,0.00183702443101521,178.735506194433,1,0.333333333333333
0.496834321,36.85184016,0.00552674309567698,178.568839527766,3,1
0.497810044,36.84302495,0.0296522392377099,178.218839527766,16,5.33333333333333
0.498814734,36.85239056,0.00186434809299577,177.868839527766,1,0.333333333333333
0.496590633,36.85310846,0.0448709642731897,153.902172861099,16,5.33333333333333
0.496590633,36.85310846,0.00280443526707436,153.902172861099,1,0.333333333333333
0.502432442,36.84585911,0.0509405717014666,153.368839527766,18,6
0.472681757,36.86037898,0.0257758383365141,152.668839527766,9,3
0.468179402,36.85649734,0.0631347730500959,130.068839527766,15,5
0.487034912,36.83918047,0.0338924886893797,129.685506194433,8,2.66666666666667
0.493316713,36.83986356,0.00848275071923249,129.618839527766,2,0.666666666666667
0.506908785,36.84485621,0.0341145437984784,129.302172861099,8,2.66666666666667
