"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Distance.from.mob.d","Closest.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/12/21","3","DSCN3496",3,1036,0.525313623,36.86899298,"Comm_Camel","","part","light","no rain","Grazing","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","","","light",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",58.79156724,"Camel",2021,7,12,10,36,"","","",2,262730.4269,58402.38507,"MB","MB","MB",258.111747566949,268.117827253343,0.307203382253647,0.61345367367085,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM41",111.803398874989
"7/14/21","3","DSCN8609",1,1156,0.524311204,36.86783287,"Comm_Camel","","part","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Eragrostis tenuifolia","Tragus berteronianus","","light",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illegal",109.58753484,"Camel",2021,7,14,11,56,"","","",3,262601.213,58291.55484,"MB","MB","MB",221.668576105795,231.485258869832,0.331378310918808,0.658124635993011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM50",33.4370152488211
"7/14/21","3","DSCN8609",2,1159,0.522087015,36.86899162,"Comm_Camel","","part","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Eragrostis tenuifolia","Enteropogon macrostachyus","Microchloa kunthii","light",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illegal",32.36138976,"Camel",2021,7,14,11,59,"","","",4,262730.1532,58045.5,"MB","MB","MB",460.162553159068,464.44607308037,0.331378310918808,0.658124635993011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM51",NA
