"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Distance.from.mob.d","Closest.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/9/21","1","DSCN3012",3,1059,0.447485925,36.84168707,"PZ","0","no sun","medium","no rain","Standing","hock","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Cynodon dactylon","Cynodon plectostachyus","medium",2812,2842,6,1,NA,3,1,NA,NA,NA,NA,1,NA,NA,"Woundmarks on thigh of 3-6 month old",157.489458756,"PZ",2021,7,9,10,59,"","","",4,259687.1821,49795,"OG","OG","OG",64.9499127842514,67.5333287164126,0.320358365774155,0.613900071039545,1321.26247631836,NA,90,1649.5320337935,260,NA,NA,NA,NA,"PZ146",38.3365862547763
"7/9/21","1","DSCN3013",1,1116,0.453928316,36.83097802,"PZ","0","no sun","light","no rain","Grazing","belly","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Enteropogon macrostachyus","medium",2843,2858,8,1,NA,2,2,1,NA,NA,NA,2,NA,NA,"",605.805840528,"PZ",2021,7,9,11,16,"Elephant","","",4,258494.9298,50507.94464,"OG","OG","OG",78.54204753611,95.4596747155336,0.289423674345016,0.591356107660456,790.219806117712,NA,260,1270.88862419766,389,NA,NA,NA,NA,"PZ147",47.5682846001088
"7/9/21","1","DSCN3015",1,1225,0.448939099,36.85346555,"PZ","0","part","light","no rain","Resting","hock","brown","Pennisetum mezzianum","Cynodon plectostachyus","Cynodon nlemfuensis","Enteropogon macrostachyus","medium",2859,2883,4,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,"",605.337451992,"PZ",2021,7,9,12,25,"","","",4,260998.7686,49955.34525,"LB","LB","LB",20.2593082712307,26.3181558869825,0.319230765104294,0.610144572408723,1514.94347721942,NA,90,1708.80546099681,25,NA,NA,NA,NA,"PZ148",28.2842712474619
"7/9/21","2","DSCN3016",1,1239,0.469135296,36.85948429,"PZ","1","part","light","no rain","Standing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","open grassland",2884,3008,10,1,NA,2,1,1,2,NA,1,1,NA,NA,"",549.184220844,"PZ",2021,7,9,12,39,"","","",4,261669.6269,52189,"LB","OG","OG",21.5062987586482,27.4976212235289,0.274604707956314,0.509580838323353,1387.06167243141,NA,25,1872.93396023088,18,NA,NA,NA,NA,"PZ149",56.2341325190349
"7/12/21","3","DSCN3496",1,1021,0.519078139,36.86099078,"PZ","1","full","light","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","","","light",3018,3139,39,10,1,7,6,2,NA,3,3,2,1,NA,"Ewaso-Marok River Bank",376.31485332,"PZ",2021,7,12,10,21,"Impala","","",2,261839.1628,57713,"MB","MB","MB",40.0157544489483,42.3597538370855,0.31166484951973,0.599722029186935,381.752192550576,NA,7,509.15968003504,3,NA,NA,NA,NA,"PZ151",156.062462474977
"7/12/21","3","DSCN3500",1,1147,0.494005348,36.85579438,"PZ","0","part","light","no rain","Grazing","hock","brown","Microchloa kunthii","Cynodon plectostachyus","Pennisetum stramineum","","medium",3195,3210,7,1,NA,NA,3,NA,NA,NA,NA,1,1,1,"",591.19729032,"PZ",2021,7,12,11,47,"","","",3,261259.6287,54939.94955,"LB","LB","LB",20.9631278500173,21.9267211043558,0.295135140419006,0.581924115390081,1629.0537277408,NA,NA,1910.43477140909,24,NA,NA,NA,NA,"PZ152",43.0351707065885
"7/12/21","4","DSCN3501",1,1207,0.480173091,36.86104024,"PZ","0","part","light","no rain","Walking","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","light",3212,3246,6,1,NA,2,1,1,NA,NA,NA,1,NA,NA,"",258.12533292,"PZ",2021,7,12,12,7,"","","",3,261843.2606,53409.80922,"LB","OG","LB",131.092392792766,135.516383481624,0.272079765796661,0.529599334534868,1266.26934590893,NA,80,1306.35173288742,NA,NA,NA,NA,NA,"PZ153",38.3365862547763
"7/12/21","4","DSCN3501",2,1235,0.472810477,36.86137692,"PZ","0","full","light","no rain","Resting","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","Microchloa kunthii","medium",3254,3379,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tower Area",175.33136124,"PZ",2021,7,12,12,35,"","","",4,261880.4951,52595.43752,"LB","MB","MB",251.828703047595,260.404855531725,0.265466451644897,0.497423945044161,865.994284716537,NA,80,1542.51218842963,NA,NA,NA,NA,NA,"PZ154",105.025770664248
"7/12/21","4","DSCN3501",3,1256,0.473006057,36.86566045,"PZ","0","part","no wind","no rain","Resting","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","Digitaria macroblefara","medium",3380,3430,17,2,3,NA,3,2,NA,2,NA,NA,NA,2,"Tower Area",297.42337632,"PZ",2021,7,12,12,56,"Impala","","",4,262357.4683,52616.92231,"OG","OG","OG",408.319385210867,420.188009389087,0.300027757883072,0.494827428362172,1166.35973927061,NA,NA,1340.65337738541,80,NA,NA,NA,NA,"PZ155",83.7214402859269
"7/12/21","4","DSCN3502",1,1307,0.474834966,36.86983878,"PZ","0","part","light","no rain","Walking","","brown","Pennisetum stramineum","Cynodon plectostachyus","Digitaria macroblefara","","light",3431,3450,13,2,NA,2,3,2,NA,1,NA,2,1,NA,"Uhuru-North Exclosure Area",400.56917544,"PZ",2021,7,12,13,7,"Impala","","",3,262822.7822,52819.06827,"OG","OG","OG",588.081790237894,598.811170252359,0.313795149326324,0.560668570824077,731.685461384557,NA,NA,1411.65326403298,NA,NA,NA,NA,NA,"PZ156",68.4632504202305
