"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier","Population"
"7/5/21",2,"DSCN4547",1,1045,0.479400929,36.84658066,"MC",NA,"full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","light",NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stears",0.002148903,"Cattle",2021,7,5,10,45,"Elephant","",NA,4,260233.1671,53324.91013,"LB","LB","LB",3.21093738408134e-08,5.07255548416995e-08,0.2944968,0.4441121,NA,NA,NA,"CT93",511.758660200015
"7/6/21",1,"DSCN4537",3,1035,0.46002399,36.84821124,"MC",NA,"full","medium","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","Cynodon plectostachyus","light",NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004486819,"Cattle",2021,7,6,10,35,"","",NA,4,260414.0677,51181.60036,"LB","LB","LB",2.56466977000212e-08,5.29199577001326e-08,0.3224656,0.5058335,NA,NA,NA,"CT109",511.758660200015
"7/6/21",2,"DSCN4534",2,1117,0.498776125,36.84671863,"MC",NA,"full","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","Pennisetum mezzianum","medium",NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calves",0.001140396,"Cattle",2021,7,6,11,17,"","",NA,4,260249.2217,55467.96676,"OG","OG","LB",4.10442325255475e-08,4.93672575233025e-08,0.2961482,0.4247163,NA,NA,NA,"CT113",407.001515877753
