"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/7/21","3","DSCN4637",1,1010,0.500949405,36.86838219,"ZC",NA,"part","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","Aristida kenyensis","light",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.007026886,"Camel",2021,7,7,10,10,"","",NA,4,262661.5138,55707.55674,"LB","LB","MB",1.33581206380428e-07,1.84266688814039e-07,0.306551307439804,0.636386964331537,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM34",159.05414575341
"7/7/21","4","DSCN4638",2,1030,0.491994746,36.87749106,"ZC",NA,"no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Enteropogon macrostachyus","Pennisetum stramineum","Cynodon nlemfuensis","medium",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001524161,"Camel",2021,7,7,10,30,"","",NA,4,263675.4463,54716.784,"OG","OG","OG",5.6398012712869e-08,6.67166739173165e-08,0.259861946105957,0.42298739866763,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM35",215.582467177851
"7/8/21","3","DSCN4693",1,1336,0.499510122,36.86458963,"ZC",NA,"full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","","medium",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004709446,"Camel",2021,7,8,13,36,"","",NA,3,262239.1673,55548.5,"LB","LB","LB",6.17167047841238e-08,7.20462830713607e-08,0.327922075986862,0.643968375414435,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM36",111.803398874989
"7/8/21","3","DSCN4694",1,1349,0.519377746,36.86383928,"ZC",NA,"part","light","no rain","Grazing","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","","light",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",0.002527344,"Camel",2021,7,8,13,49,"Impala","",NA,3,262156.3494,57746.03093,"MB","MB","MB",2.40009917456329e-06,2.80592765561501e-06,0.304347813129425,1.04126679462572,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM37",159.05414575341
"7/8/21","3","DSCN4695",2,1424,0.509012932,36.85327647,"ZC",NA,"part","light","no rain","Grazing","hock","brown","Microchloa kunthii","Cynodon plectostachyus","Pennisetum stramineum","","medium",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",0.000859817,"Camel",2021,7,8,14,24,"","",NA,3,260979.809,56600,"LB","OG","MB",6.41989555688945e-08,9.29659044133597e-08,0.306193649768829,0.684210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM38",362.565047682812
"7/8/21","4","DSCN4701",1,1140,0.487381001,36.86563005,"ZC",NA,"no sun","light","no rain","Grazing","hock","brown with some green","Cenchrus ciliaris","Cynodon plectostachyus","Harpachne schimperi ","Pennisetum stramineum","medium",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite Tower Area",0.003821964,"Camel",2021,7,8,11,40,"","",NA,4,262354.583,54206.89475,"MB","MB","MB",7.2627674895455e-06,7.32650964236376e-06,0.295454531908035,0.729474305965741,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM39",159.05414575341
"7/9/21","2","DSCN3017",1,1332,0.486137154,36.84641185,"ZC",NA,"part","light","no rain","Grazing","hoof","brown","Cenchrus ciliaris","Microchloa kunthii","Cynodon plectostachyus","","medium",NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ngaramata Dam Area",0.000516249,"Camel",2021,7,9,13,32,"","",NA,3,260214.6077,54070,"LB","MB","MB",8.59304276534539e-06,9.01038521658775e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM40",491.421755287632
