"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/8/21","1","DSCN4685",2,1029,0.457933935,36.93196215,"CC",NA,"no sun","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cenchrus ciliaris","Pennisetum mezzianum","light",NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",0.003520687,"Cattle",2021,7,8,10,29,"","",NA,4,269739.4279,50947.66044,"MB","LB","MB",3.67335619502594e-06,3.75109158832516e-06,0.228692427277565,0.309944037882049,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT125",561.472958761351
"7/8/21","2","DSCN4689",2,1132,0.484765526,36.8401595,"CC",NA,"no sun","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Cynodon nlemfuensis","light",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",0.002233541,"Cattle",2021,7,8,11,32,"","",NA,4,259518.3582,53918.50933,"MB","MB","MB",3.02064359871323e-08,4.93059427910063e-08,0.330909103155136,0.639763779527559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT126",531.829589694499
"7/8/21","3","DSCN4692",2,1259,0.490469768,36.85673158,"CC",NA,"full","light","no rain","Grazing","hock","brown","Microchloa kunthii","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,"Boundary Area",0.006137273,"Cattle",2021,7,8,12,59,"","",NA,4,261363.8587,54548.85298,"MB","MB","MB",2.15289801228943e-08,7.69031227772687e-08,0.362896651029587,0.716696127269806,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT127",111.803398874989
"7/8/21","3","DSCN4693",1,1336,0.499510122,36.86458963,"CC",NA,"full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","","medium",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004709446,"Cattle",2021,7,8,13,36,"","",NA,3,262239.1673,55548.5,"LB","LB","LB",6.17167047841238e-08,7.20462830713607e-08,0.327922075986862,0.643968375414435,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT128",128.18610191887
"7/8/21","3","DSCN4693",3,1345,0.514463296,36.86197251,"CC",NA,"part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","light",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003639083,"Cattle",2021,7,8,13,45,"","",NA,2,261948.3038,57202.52704,"LB","LB","MB",1.16094900077362e-05,1.18641109882178e-05,0.340179711580276,0.635567813886557,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT129",131.377583798657
"7/8/21","3","DSCN4694",2,1401,0.521798146,36.86483793,"CC",NA,"part","light","no rain","Standing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",0.002175291,"Cattle",2021,7,8,14,1,"","",NA,3,262267.6381,58013.70678,"MB","MB","MB",1.85198190487468e-06,1.93619122430722e-06,0.346740633249283,0.875350140056022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT130",28.2842712474619
"7/8/21","3","DSCN4694",3,1406,0.525264911,36.86892037,"CC",NA,"part","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Microchloa kunthii","","","light",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso Nyino River",0.000440126,"Cattle",2021,7,8,14,6,"","",NA,2,262722.3397,58397,"MB","MB","MB",5.49136885104847e-06,5.74416807046124e-06,0.293742030858994,0.991806813281587,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT131",60.4010535453724
"7/8/21","3","DSCN4695",1,1420,0.512605444,36.85593975,"CC",NA,"part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","","light",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",0.003279646,"Cattle",2021,7,8,14,20,"","",NA,3,261276.4956,56997.2608,"MB","MB","MB",2.12473187029806e-07,2.17841338605578e-07,0.335673540830612,0.563328424153166,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT132",121.721844144598
"7/8/21","4","DSCN4696",2,1018,0.479217961,36.87854374,"CC",NA,"no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","","open grassland",NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso Nyino River, Calves",0.001990107,"Cattle",2021,7,8,10,18,"","",NA,3,263792.213,53303.55484,"OG","OG","OG",3.80944761478166e-08,5.94510795666867e-08,0.276909708976746,0.401560926485398,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT133",162.027187143006
"7/8/21","4","DSCN4696",3,1020,0.47981318,36.87978955,"CC",NA,"no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","","medium",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.002228458,"Cattle",2021,7,8,10,20,"Goat","",NA,3,263930.9511,53369.34648,"OG","OG","OG",2.01363130491465e-08,7.80065605730105e-08,0.221836030483246,0.459589969501864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT134",22.7950705695478
"7/8/21","4","DSCN4698",2,1032,0.482876351,36.88414219,"CC",NA,"no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","","light",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004264619,"Cattle",2021,7,8,10,32,"Donkey","",NA,3,264415.7128,53708,"OG","OG","OG",3.48064771101378e-08,4.70249683254301e-08,0.298199146986008,0.484968558876734,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT135",98.098975322922
