"Latitude","Longitude","Total.animals","Date","Species","Population"
0.482766878,36.83849898,3,2021-06-12,"GZ",0.121573709704255
0.463730569,36.8360119,5,2021-06-12,"GZ",0.178330747993713
0.494005348,36.85579438,7,2021-07-12,"PZ",0.229520910435139
0.453275435,36.84151147,5,2021-06-12,"PZ",0.178330747993713
0.480173091,36.86104024,6,2021-07-12,"PZ",0.204461793358807
0.472810477,36.86137692,23,2021-07-12,"PZ",0.560137443542657
0.485345348,36.85832857,35,2021-06-17,"PZ",0.767449418214304
0.485345348,36.85832857,1,2021-06-17,"GZ",0.0533333333333333
0.495867459,36.85341515,22,2021-06-17,"PZ",0.541770980307747
0.473006057,36.86566045,17,2021-07-12,"PZ",0.44651434819161
0.49890006,36.85149937,5,2021-06-17,"GZ",0.178330747993713
0.474834966,36.86983878,13,2021-07-12,"PZ",0.365137335574562
0.481106358,36.84576039,1,2021-06-17,"GZ",0.0533333333333333
0.478605384,36.8441942,3,2021-06-17,"GZ",0.121573709704255
0.478605384,36.8441942,5,2021-06-17,"PZ",0.178330747993713
0.475048372,36.86037715,2,2021-07-12,"GZ",0.0896956176270629
0.463599599,36.85093968,5,2021-06-17,"PZ",0.178330747993713
0.476327475,36.85975704,7,2021-06-18,"PZ",0.229520910435139
0.471830751,36.86001108,6,2021-07-12,"PZ",0.204461793358807
0.480382894,36.86146569,5,2021-06-18,"PZ",0.178330747993713
0.499592772,36.85476823,6,2021-06-18,"GZ",0.204461793358807
0.499592772,36.85476823,2,2021-06-18,"PZ",0.0896956176270629
0.48732613,36.84671643,1,2021-06-18,"GZ",0.0533333333333333
0.46701693,36.8402486,1,2021-06-21,"GZ",0.0533333333333333
0.46701693,36.8402486,7,2021-06-21,"PZ",0.229520910435139
0.470712417,36.83985874,5,2021-06-21,"GZ",0.178330747993713
0.470712417,36.83985874,4,2021-06-21,"PZ",0.15084944665313
0.483614058,36.84230352,1,2021-06-21,"PZ",0.0533333333333333
0.454465578,36.84203038,2,2021-06-21,"GZ",0.0896956176270629
0.427487015,36.85246146,3,2021-06-25,"PZ",0.121573709704255
0.468710434,36.84056208,9,2021-06-25,"PZ",0.27712812921102
0.469789343,36.84041403,12,2021-06-25,"PZ",0.343862378183533
0.465458574,36.83977468,5,2021-06-25,"GZ",0.178330747993713
0.475955497,36.85039919,5,2021-06-25,"GZ",0.178330747993713
0.451013563,36.84301555,4,2021-06-25,"PZ",0.15084944665313
0.479213145,36.87224665,12,2021-06-29,"PZ",0.343862378183533
0.483091817,36.86128206,4,2021-06-29,"PZ",0.15084944665313
0.48577677,36.87360028,18,2021-06-30,"PZ",0.466072100839031
0.484880802,34.74886733,5,2021-06-30,"PZ",0.178330747993713
0.484009981,36.86664969,6,2021-06-30,"PZ",0.204461793358807
0.479230038,36.86080239,10,2021-06-30,"PZ",0.299915373434853
0.50589697,36.85961333,24,2021-06-30,"PZ",0.578305282310301
0.49284391,36.86112942,6,2021-06-30,"PZ",0.204461793358807
0.445440137,36.84276155,11,2021-07-01,"PZ",0.322138952241986
0.445440137,36.84276155,3,2021-07-01,"GZ",0.121573709704255
0.466261705,36.83975412,4,2021-07-01,"PZ",0.15084944665313
0.485905781,36.84451032,5,2021-07-01,"PZ",0.178330747993713
