"Latitude","Longitude","Total.animals","Date","Species","Population"
0.49365844,36.85341138,2,2021-06-15,"GZ",0.0896956176270629
0.474922977,36.84245038,11,2021-06-16,"GZ",0.322138952241986
0.476837941,36.84171448,13,2021-06-16,"GZ",0.365137335574562
0.479435281,36.84292658,3,2021-06-16,"GZ",0.121573709704255
0.450641962,36.84426864,1,2021-06-16,"GZ",0.0533333333333333
0.506569265,36.8427715,8,2021-06-16,"GZ",0.253697517867247
0.502497602,36.842789,2,2021-06-16,"GZ",0.0896956176270629
0.489298872,36.84842902,1,2021-06-16,"GZ",0.0533333333333333
0.453489833,36.85927947,3,2021-06-16,"GZ",0.121573709704255
0.478802341,36.84667688,5,2021-06-18,"GZ",0.178330747993713
0.478525048,36.84778555,9,2021-06-18,"GZ",0.27712812921102
0.467659731,36.85018788,1,2021-06-18,"GZ",0.0533333333333333
0.483049598,36.86025661,12,2021-06-21,"GZ",0.343862378183533
0.458429028,36.83380688,5,2021-06-22,"GZ",0.178330747993713
0.450268108,36.8081354,3,2021-06-22,"GZ",0.121573709704255
0.462850205,36.83950902,7,2021-06-22,"GZ",0.229520910435139
0.466562639,36.8499989,8,2021-06-22,"GZ",0.253697517867247
0.498823178,36.85371225,9,2021-06-23,"GZ",0.27712812921102
0.498397601,36.84664488,4,2021-06-23,"GZ",0.15084944665313
0.494059638,36.84075349,3,2021-06-23,"GZ",0.121573709704255
0.486580468,36.8400883,8,2021-06-23,"GZ",0.253697517867247
0.463904018,36.84956554,2,2021-06-23,"GZ",0.0896956176270629
0.448746726,36.85551446,7,2021-06-23,"GZ",0.229520910435139
0.501268394,36.84943112,1,2021-06-24,"GZ",0.0533333333333333
0.49736136,36.84057105,9,2021-06-24,"GZ",0.27712812921102
0.479576827,36.83947116,11,2021-06-24,"GZ",0.322138952241986
0.481201228,36.84053526,2,2021-06-24,"GZ",0.0896956176270629
0.463082854,36.84269619,8,2021-06-28,"GZ",0.253697517867247
0.467010004,36.85585442,2,2021-07-13,"GZ",0.0896956176270629
0.476218927,36.84114887,8,2021-06-29,"GZ",0.253697517867247
0.498841269,36.85061237,2,2021-06-29,"GZ",0.0896956176270629
