"Longitude","Latitude","NDVI_05_09_05_24","EVI_05_09_05_24","NDVI_05_25_06_09","EVI_05_25_06_09","NDVI_06_10_06_25","EVI_06_10_06_25","NDVI_06_26_12_31","EVI_06_26_12_31"
36.8378885924071,0.504898105707113,0.4797,0.2954,0.3892,0.2118,0.3389,0.1871,0.3285,0.1692
36.8381580869929,0.504898105707113,0.4797,0.2954,0.3892,0.2118,0.3389,0.1871,0.3285,0.1692
36.8384275815786,0.504898105707113,0.4797,0.2954,0.3892,0.2118,0.3389,0.1871,0.3285,0.1692
36.8386970761643,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.83896657075,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.8392360653357,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.8395055599214,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.8397750545071,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.8400445490929,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.8403140436786,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.8405835382643,0.504898105707113,0.4717,0.2844,0.3855,0.2111,0.3493,0.1919,0.3337,0.1716
36.84085303285,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.8411225274357,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.8413920220214,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.8416615166071,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.8419310111929,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.8422005057786,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.8424700003643,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.84273949495,0.504898105707113,0.4781,0.2926,0.3864,0.213,0.3429,0.1903,0.3337,0.1716
36.8430089895357,0.504898105707113,0.4402,0.2746,0.351,0.2004,0.3052,0.1727,0.3033,0.1612
36.8432784841214,0.504898105707113,0.4402,0.2746,0.351,0.2004,0.3052,0.1727,0.3033,0.1612
36.8435479787071,0.504898105707113,0.4402,0.2746,0.351,0.2004,0.3052,0.1727,0.3033,0.1612
36.8438174732929,0.504898105707113,0.4402,0.2746,0.351,0.2004,0.3052,0.1727,0.3033,0.1612
36.8440869678786,0.504898105707113,0.4402,0.2746,0.351,0.2004,0.3052,0.1727,0.3033,0.1612
36.8443564624643,0.504898105707113,0.4402,0.2746,0.351,0.2004,0.3052,0.1727,0.3033,0.1612
36.84462595705,0.504898105707113,0.4402,0.2746,0.351,0.2004,0.3052,0.1727,0.3033,0.1612
36.8448954516357,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.8451649462214,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.8454344408071,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.8457039353929,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.8459734299786,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.8462429245643,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.84651241915,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.8467819137357,0.504898105707113,0.4402,0.2746,0.3313,0.1936,0.2899,0.1662,0.2917,0.1564
36.8470514083214,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
36.8473209029071,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
36.8475903974929,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
36.8478598920786,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
36.8481293866643,0.504898105707113,0.4283,0.2714,0.3546,0.2087,0.3113,0.18,0.2917,0.1575
